Year,Quarter,CROPYIELD
1947,1,2182.681
1947,2,2176.892
1947,3,2172.432
1947,4,2206.452
1948,1,2239.682
1948,2,2276.69
1948,3,2289.77
1948,4,2292.364
1949,1,2260.807
1949,2,2253.128
1949,3,2276.424
1949,4,2257.352
1950,1,2346.104
1950,2,2417.682
1950,3,2511.127
1950,4,2559.214
1951,1,2593.967
1951,2,2638.898
1951,3,2693.259
1951,4,2699.156
1952,1,2727.954
1952,2,2733.8
1952,3,2753.517
1952,4,2843.941
1953,1,2896.811
1953,2,2919.206
1953,3,2902.785
1953,4,2858.845
1954,1,2845.192
1954,2,2848.305
1954,3,2880.482
1954,4,2936.852
1955,1,3020.746
1955,2,3069.91
1955,3,3111.379
1955,4,3130.068
1956,1,3117.922
1956,2,3143.694
1956,3,3140.874
1956,4,3192.57
1957,1,3213.011
1957,2,3205.97
1957,3,3237.386
1957,4,3203.894
1958,1,3120.724
1958,2,3141.224
1958,3,3213.884
1958,4,3289.032
1959,1,3352.129
1959,2,3427.667
1959,3,3430.057
1959,4,3439.832
1960,1,3517.181
1960,2,3498.246
1960,3,3515.385
1960,4,3470.278
1961,1,3493.703
1961,2,3553.021
1961,3,3621.252
1961,4,3692.289
1962,1,3758.147
1962,2,3792.149
1962,3,3838.776
1962,4,3851.421
1963,1,3893.482
1963,2,3937.183
1963,3,4023.755
1963,4,4050.147
1964,1,4135.553
1964,2,4180.592
1964,3,4245.918
1964,4,4259.046
1965,1,4362.111
1965,2,4417.225
1965,3,4515.427
1965,4,4619.458
1966,1,4731.888
1966,2,4748.046
1966,3,4788.254
1966,4,4827.537
1967,1,4870.299
1967,2,4873.287
1967,3,4919.392
1967,4,4956.477
1968,1,5057.553
1968,2,5142.033
1968,3,5181.859
1968,4,5202.212
1969,1,5283.597
1969,2,5299.625
1969,3,5334.6
1969,4,5308.556
1970,1,5300.652
1970,2,5308.164
1970,3,5357.077
1970,4,5299.672
1971,1,5443.619
1971,2,5473.059
1971,3,5518.072
1971,4,5531.032
1972,1,5632.649
1972,2,5760.47
1972,3,5814.854
1972,4,5912.22
1973,1,6058.544
1973,2,6124.506
1973,3,6092.301
1973,4,6150.131
1974,1,6097.258
1974,2,6111.751
1974,3,6053.978
1974,4,6030.464
1975,1,5957.035
1975,2,5999.61
1975,3,6102.326
1975,4,6184.53
1976,1,6323.649
1976,2,6370.025
1976,3,6404.895
1976,4,6451.177
1977,1,6527.703
1977,2,6654.466
1977,3,6774.457
1977,4,6774.592
1978,1,6796.26
1978,2,7058.92
1978,3,7129.915
1978,4,7225.75
1979,1,7238.727
1979,2,7246.454
1979,3,7300.281
1979,4,7318.535
1980,1,7341.557
1980,2,7190.289
1980,3,7181.743
1980,4,7315.677
1981,1,7459.022
1981,2,7403.745
1981,3,7492.405
1981,4,7410.768
1982,1,7295.631
1982,2,7328.912
1982,3,7300.896
1982,4,7303.817
1983,1,7400.066
1983,2,7568.456
1983,3,7719.746
1983,4,7880.794
1984,1,8034.847
1984,2,8173.67
1984,3,8252.465
1984,4,8320.199
1985,1,8400.82
1985,2,8474.787
1985,3,8604.22
1985,4,8668.188
