Cust_ID,Age,BillAmt_Product,BillAmt_Service,BillAmt_Pre,Vintage
82078,49,81128.27,48203.1,62975.45,5
57215,34,59480.2,17263.19,23633.58,5
66970,58,65363.07,30660.67,45888.87,6
77319,48,84073.28,47181.46,43186.04,7
29564,26,10541.03,3550.96,12753.15,1
40744,30,54889.43,17371.42,32344.42,3
20456,28,10927.48,4280.6,13746.37,1
50315,40,49047.01,18509.05,23435.07,2
54708,30,42587.04,14189.97,36112.22,4
19929,26,17963.63,4856.25,14793.76,1
47533,39,42544.41,15436.74,31854.31,5
64877,30,28264.02,12074.9,30821.38,3
46795,40,48293.86,16272.38,21082.01,4
31796,27,6017.9,2542.82,11683.4,1
18771,27,13607.42,2668.92,12853.76,1
12951,27,15497.15,3052.79,10627.41,1
60076,34,38368.55,12622.21,20900.23,3
45222,38,57508.47,16366.35,37039.09,2
54277,33,38557.16,14119.6,36114.53,4
27421,29,15335.16,3382.62,14501.39,1
79159,64,87723.68,39457.28,58347.31,5
80555,51,68104.93,30026.93,41785.9,5
75696,50,88515.15,47846.17,60473.09,5
61129,30,39903.82,14487.96,36175.67,
49818,36,44034.02,18962.62,24329.16,4
69224,55,78802.43,37318.86,,6
15222,25,13037.27,4475.87,10137.29,1
57842,35,48117.28,13364.91,38253.56,5
43664,43,52269.08,13748.51,36499.49,3
54488,43,42446.35,13795.96,29619.65,3
44537,36,48406.82,14463.42,26541.28,4
84753,53,76534.88,48152.2,57740.55,5
49512,44,48716.27,18873.58,35496.4,3
43981,41,55262.37,14244.33,33117.74,5
31522,27,15385.51,4911.33,13033.73,1
45388,31,49685.37,16786.6,27671.8,3
18828,27,16208.6,3557.38,10399.93,1
35471,25,17238.25,3124.67,11148.97,1
77015,65,97041.67,40209.59,54976.72,8
59794,44,46677.1,17635.34,34919.2,4
49836,35,57575.48,16858.51,20652.34,2
53470,41,42939.02,17243.98,23777.3,2
42574,30,55236.58,15667.64,38972.33,3
69436,57,95622.04,35027.42,51471.9,8
80075,63,90184.82,32707.6,62083,7
35157,25,6500.6,2573.36,12064.64,1
66157,61,79383.51,39068.08,64539.52,5
76042,45,91615.31,34548.39,45221.36,6
24618,28,5083.93,4450.62,13269.53,1
70890,46,71299.33,30624.37,56651.6,5
57362,44,35296.48,14073.77,30237.74,4
55228,34,29189.75,17871.05,36270.47,3
49284,38,53004.54,15307.09,36679.22,2
88205,54,88269,32112.39,68729.25,8
47155,43,56149.79,19569.15,33205.42,4
77302,53,87757.16,41799.75,65798.4,8
72436,56,77023.67,42792.18,48837.44,8
28353,27,8204.52,4477.91,10391.8,1
54143,40,52940.79,17712.17,22571.37,5
14896,29,9409.81,3065.48,10610.94,1
72561,51,74759.99,31484.95,47529.45,7
90585,49,74073.07,45399.92,56379.41,8
49394,40,31561.46,14860.15,24191.57,5
69227,65,68202,41494.75,41298.87,5
73902,56,97777.88,35690.59,67672.29,5
52010,42,32695.32,16030.53,24064.91,2
43593,37,30498.44,19193.77,38172.88,5
79376,47,90332.64,46648.63,67183.13,7
24312,28,13556.27,4712.35,13527.04,1
15315,28,8670.12,4091.89,11554.21,1
69028,54,68616.26,32043.56,61121.92,5
85359,59,92848.35,34367.99,44412.21,8
60670,37,33311.79,17470.08,28824.18,4
24116,29,16754.04,4301.36,14818,1
71672,61,74213.56,39725.15,48643.81,7
45109,33,54901.65,13999.74,38906.81,4
12984,28,10035.57,4495.37,13614.25,
28806,29,12563.65,4114.18,10361.04,1
26157,29,8451.34,4318.87,12260.36,1
80825,63,67363.27,38370.43,65154.97,5
51876,40,56430.07,17531.13,38126.88,5
78944,48,84358.55,33181.58,57821.53,7
20462,29,10798.19,2564.36,12250.38,1
60679,32,32342.88,16034.25,21018.15,3
19484,26,20047.86,2656.03,13581.81,1
12546,26,12143.14,3189.8,11497.72,1
71723,46,88909.59,44397.04,58851.49,7
41174,35,43547.26,18090.58,24524.43,3
39867,36,59055,12074.57,33031.5,2
13659,25,9374.6,4116.78,10161.78,1
90853,59,73564.62,32500.93,48260.96,6
82578,60,84201.07,33367.73,62293.39,7
28062,26,19488.28,3385.48,12462.5,1
23599,26,7888.75,3834.16,13261.31,1
91411,50,74160.64,41755.53,62693.31,6
57744,38,43811.8,19021.72,32009.72,3
60671,45,46151.25,17938.4,30520.78,2
39817,40,40291.65,15937.31,38811.8,4
76654,46,90542.76,45247.1,53707.46,8
34378,28,11031.21,3471.43,12889.24,1
31507,29,9084.62,3497.57,13057.07,1
66602,53,99947.09,45121.43,62810.44,8
49126,31,47755.77,15447.69,20012.88,4
30602,26,7894.99,2776.18,12471.83,1
52588,35,43666.47,13672.2,32802.72,2
28234,27,9498.79,4823.46,11825.84,1
24475,28,7950.35,4397.15,14039.22,1
61271,31,,14301.72,22465.95,4
41611,32,25078.77,15482.98,31144.23,5
89415,45,73051.75,48276.85,67888.77,7
66772,64,78272.29,33097.73,40251.41,5
51666,34,58668.56,12795.46,21891.74,3
70360,56,89800.93,36222.69,48678.76,6
16705,27,9786.67,3345.81,11180.81,1
67286,58,91334.42,35426.44,63929.23,7
19388,28,18138.44,3064.05,13813.73,1
30821,28,12503.82,2564.82,10795.07,1
87181,45,99143.84,38534.48,64920.93,6
38770,27,9571.24,3065.46,10100.98,1
48203,35,39666.92,19514.46,33702.62,3
48388,41,59003.34,19166.94,38066.54,4
26114,27,13554.36,4009.52,10051.45,1
64038,42,56087.45,15856.32,35046.56,5
24507,28,12668.62,4495.79,13859.45,1
91299,58,85823.46,49736.2,50657.49,6
26830,26,12033.27,4483.14,11387.59,1
54938,39,49773.12,14804.57,21345.83,5
19347,26,6246.66,2753.26,10861.31,1
54672,35,33777.41,18508.92,31951.93,2
15249,27,13909.99,2676.82,10890.38,1
85627,63,81562.23,47327.79,47237.18,6
