Custid,BillAmt_1,BillAmt_2,BillAmt_3
1,12.34,13.26,5.88
2,18.65,2.12,5.13
3,7.22,3.31,3.65
4,6.15,2.95,2.34
5,20.64,2.67,4.07
6,12.44,3.06,2.57
7,34.21,6.51,17.62
8,8.27,2.38,3.09
9,26.67,3.41,4.22
10,19.81,2.81,4.06
11,3.05,1.58,1.22
12,6.01,2.82,1.44
13,13.65,4.03,3.57
14,20.99,3.69,3.88
15,13.26,4.32,5.81
16,8.65,2.51,3.97
17,20.64,5.34,0
18,12.24,1.73,5.32
19,10.55,1.83,3.02
20,2.79,2.04,1.77
21,3.82,1.53,0.83
22,10.28,0.95,3.14
23,11.82,1.47,2.89
24,13.55,2.58,2.69
25,20.33,1.45,3.21
26,20.98,3.99,4.31
27,7.6,3.18,5.41
28,18.31,2.09,11.56
29,23.23,6.01,8.52
30,18.37,2.96,6.08
31,5.13,1.24,1.99
32,15.04,3.93,3.15
33,10.21,2.96,0.93
34,16.79,1.96,4.24
35,3.96,2.12,2.79
36,26.53,6.61,7
37,20.94,2.89,2.46
38,15.59,5.75,5.74
39,20.79,3.66,4.64
40,4.32,2.39,3.42
41,10.28,1.99,3.4
42,9.92,4.47,3.11
43,8.38,1.52,2.69
44,13.42,2.6,5.11
45,11.66,2.36,1.17
46,9.75,0.24,1.13
47,6.26,2.43,1.94
48,11.01,0.54,3.88
49,15.42,1.94,2.63
50,9.39,0.47,4.13
51,16.59,1.56,3.93
52,17.24,1.2,3.87
53,13.66,3.23,4.54
54,8.21,2.93,0.87
55,13.43,0.71,3.95
56,20.08,2.33,2.7
57,8.98,0.79,1.82
58,7.33,2.43,1.44
59,6.95,3.92,1.72
60,17.16,5.14,7.78
61,3.5,1.28,1.88
62,11.54,4.29,2.31
63,16.87,3.33,3.96
64,7.78,4.59,3.01
65,11.99,3.47,2.39
66,25.42,10.01,11.38
67,10.58,1.87,1.58
68,10.49,4.21,3.42
69,12.82,4.08,2.09
70,22.5,2.35,3.26
71,24.7,4.2,5.08
72,25.18,5.79,6.22
73,15.67,4.67,10.2
74,12.15,1.54,1.32
75,2.78,2.61,2.01
76,24.32,6.66,9.91
77,4.58,1.93,1.04
78,6.83,0.66,1.91
79,2.83,1.43,2.75
80,8.03,1.44,1.99
81,13.38,4.63,1.77
82,19.25,3.02,6.57
83,21.9,4.65,3.77
84,14.36,4.49,2.43
85,5.84,1.85,0.83
86,21.98,3.73,6.9
87,13.24,5.54,1.54
88,28.82,3.07,7.65
89,4.35,0.96,0.78
90,28.25,4.69,3.19
91,10.75,1.6,2.79
92,14.94,2.9,1.43
93,11.18,3.6,5.69
94,9.01,2.04,0.99
95,27.61,2.26,1.99
96,6.63,1.33,2.8
97,5.15,2.44,2.55
98,12.09,3.64,3.87
99,10.27,2.55,1.74
100,13.49,1.42,1.74
101,3.7,2.63,2.89
102,10.33,1.9,3.29
103,10.49,3.68,1.84
104,5.91,3.4,2.43
105,24.12,11.49,8.89
106,4.97,2.68,2
107,14.56,2.61,3.87
108,17.71,2.67,2.73
109,9.14,1.96,3.77
110,12.25,1.69,4.14
111,7.84,1.37,2.25
112,11.15,3.08,4.37
113,11.59,2.77,2.23
114,25.07,4.46,9.4
115,11.91,2.23,3.83
116,5.96,1.71,2.56
117,10.35,2.79,2.03
118,4.39,2.45,2.54
119,16.26,2.59,4.35
120,11.63,2.12,1.99
121,10.82,4.18,2.42
122,10.88,3.15,1.44
123,36.97,2.25,7.81
124,14.17,2.02,3.08
125,6.01,1.67,2.39
126,5.16,1.59,1.56
127,14.19,3.29,8.85
128,2.94,1.3,0.96
129,13.35,1.77,3.51
130,9.83,3.05,2.67
131,6.15,2.87,0.5
132,17.64,1.56,2.49
133,21.32,3.12,6.3
134,16.86,3.41,6.07
135,7.18,1.34,2.39
136,6.3,0.71,2.39
137,14.97,2.36,4.55
138,10.87,2.6,1.15
