CustomerID,Month,Brand,Year,Sales
10000,5,B4,2021,21830.69
10000,10,B5,2021,7221.56
10000,8,B1,2021,29684.44
10000,10,B3,2021,1573.06
10000,1,B2,2020,4016.70
10000,4,B2,2020,34689.10
10001,3,B2,2021,39299.76
10001,10,B5,2020,14707.80
10001,12,B2,2021,2965.95
10001,7,B1,2021,6169.10
10001,6,B1,2021,20424.30
10002,12,B4,2020,6538.05
10002,10,B5,2020,36844.90
10002,5,B1,2020,6715.17
10003,7,B4,2020,21157.30
10003,3,B5,2020,6859.57
10004,12,B4,2020,32583.98
10004,8,B5,2021,34225.13
10004,11,B1,2021,6824.23
10004,10,B3,2021,28907.60
10005,2,B2,2020,64947.37
10005,10,B1,2020,31423.08
10005,12,B2,2021,6905.29
10005,6,B1,2020,5644.90
10005,8,B3,2021,2328.28
10006,5,B3,2021,22810.33
10006,2,B4,2021,45341.85
10006,9,B3,2020,6367.54
10006,4,B1,2021,7789.73
10006,12,B4,2020,29909.19
10006,9,B2,2021,9547.92
10006,10,B3,2021,8097.02
10006,10,B2,2020,6811.85
10007,2,B3,2020,15958.71
10007,6,B3,2020,58238.69
10007,2,B4,2020,7096.17
10007,7,B4,2020,23570.85
10007,6,B2,2020,6273.84
10008,9,B1,2020,6695.35
10008,8,B4,2020,44980.63
10008,10,B1,2020,4902.01
10008,5,B2,2020,7912.63
10008,1,B3,2021,28145.09
10008,10,B1,2020,18738.41
10008,7,B4,2021,5481.23
10009,8,B1,2020,43269.81
10009,4,B4,2020,36935.47
10009,1,B3,2021,10235.82
10010,10,B4,2021,29559.78
10010,8,B5,2021,24402.23
10010,2,B4,2021,9297.20
10010,4,B3,2021,35455.03
10010,5,B1,2021,11057.63
10010,8,B5,2020,5346.86
10010,12,B2,2021,12102.06
10010,1,B4,2020,44401.84
10010,9,B3,2020,48606.39
10011,9,B2,2021,4963.76
10011,6,B4,2020,35013.66
10011,5,B3,2021,20962.96
10011,12,B1,2020,27113.02
10012,2,B4,2020,18210.86
10012,7,B1,2021,16372.26
10012,7,B1,2021,37078.55
10012,1,B1,2020,39543.14
10012,5,B3,2021,39838.70
10012,7,B2,2020,6427.05
10012,4,B2,2021,16804.73
10012,2,B1,2021,14084.30
10012,7,B1,2020,24316.83
10013,5,B2,2021,25376.44
10013,5,B5,2021,25753.61
10013,8,B5,2020,47526.55
10013,1,B2,2020,9978.65
10013,12,B3,2021,37982.89
10014,11,B1,2020,36645.64
10014,8,B4,2020,303.44
10014,8,B4,2021,31874.10
10014,9,B2,2020,920.08
10014,7,B5,2020,6895.31
10014,5,B4,2020,3243.23
10014,4,B3,2020,43403.90
10014,9,B2,2021,5138.31
10014,11,B2,2021,62325.27
10015,9,B2,2020,7043.55
10015,8,B3,2021,17050.13
10015,12,B1,2020,55446.20
10015,6,B5,2020,42213.70
10015,11,B2,2021,22130.79
10016,2,B4,2020,3605.62
10016,6,B4,2021,36263.69
10016,2,B2,2021,5914.58
10016,6,B5,2021,11800.01
10016,9,B3,2020,864.26
10016,5,B1,2020,20290.06
10016,1,B2,2020,6789.55
10016,7,B4,2020,16944.00
10017,4,B3,2020,5791.26
10017,11,B3,2020,2308.38
10017,7,B4,2020,15107.90
10017,10,B1,2021,13044.56
10017,1,B3,2021,32840.98
10018,3,B6,2020,23715.67
10018,1,B1,2020,34611.42
10018,1,B4,2021,30236.10
10018,9,B2,2020,34590.94
10018,9,B3,2020,11702.88
10018,2,B1,2020,21040.55
10019,6,B5,2021,24789.79
10019,9,B3,2020,5644.81
10019,6,B1,2021,34055.21
10019,12,B3,2021,8330.88
10019,4,B4,2020,42356.81
10019,3,B1,2021,15372.07
10020,5,B5,2021,21870.23
10020,8,B2,2021,57300.81
10020,11,B3,2021,1553.67
10020,4,B3,2021,5174.26
10021,9,B3,2021,35095.67
10021,8,B4,2021,39137.14
10021,7,B2,2021,18932.68
10021,2,B2,2020,633.58
10021,11,B4,2021,7368.80
10021,2,B4,2020,90.17
10021,7,B5,2021,12160.72
10022,11,B1,2020,16394.55
10022,3,B4,2020,56046.09
10022,8,B5,2021,8943.92
10022,1,B5,2021,53682.29
10022,4,B5,2020,5594.84
10022,5,B2,2020,9079.86
10022,10,B5,2021,46172.80
10022,1,B2,2020,29320.11
10022,2,B1,2020,28511.40
10022,1,B1,2020,4912.23
10022,1,B1,2020,2261.14
10023,3,B1,2020,1263.04
10023,4,B1,2021,16179.89
10023,2,B4,2021,39112.75
10023,11,B2,2020,1888.16
10023,8,B1,2020,20173.67
10024,9,B2,2021,8060.64
10024,2,B4,2020,25300.70
10024,2,B5,2021,42845.53
10024,4,B5,2020,9889.40
10024,9,B4,2020,10566.90
10024,5,B1,2021,15574.50
10025,4,B3,2020,8223.11
10025,3,B2,2021,2288.65
10025,12,B1,2021,58086.68
10026,5,B2,2021,3379.87
10026,8,B1,2021,8936.66
10026,3,B5,2021,11982.04
10026,9,B1,2021,26587.55
10026,8,B5,2021,27944.92
10027,7,B4,2021,51041.42
10027,11,B5,2021,587.09
10027,9,B4,2020,8005.99
10027,9,B4,2020,2999.40
10027,7,B4,2020,6829.60
10028,6,B4,2021,37101.44
10029,4,B3,2021,29866.73
10029,5,B5,2020,46723.23
10029,12,B5,2020,16626.00
10029,5,B3,2021,54756.45
10029,11,B4,2021,7313.45
10029,9,B2,2020,3183.82
10029,8,B4,2020,13103.76
10030,9,B4,2020,11357.18
10030,3,B3,2020,10066.17
10030,12,B5,2020,9109.90
10031,1,B1,2021,9907.99
10031,12,B4,2020,4451.22
10031,6,B1,2021,12591.59
10031,12,B4,2020,2405.73
10031,1,B5,2020,31614.49
10031,6,B4,2020,21496.98
10032,1,B5,2020,19102.45
10032,12,B3,2021,4779.82
10032,7,B5,2021,46962.00
10032,6,B3,2020,37185.61
10033,5,B1,2020,31934.20
10033,5,B4,2021,8450.46
10033,11,B1,2021,3654.94
10033,8,B2,2021,7182.15
10033,8,B5,2020,5702.10
10034,6,B3,2020,15806.73
10034,2,B2,2021,1668.88
10034,3,B2,2021,15634.71
10034,3,B5,2020,36197.44
10034,3,B5,2021,1064.19
10034,12,B5,2021,59128.35
10035,10,B3,2021,47219.76
10035,11,B1,2020,32830.07
10035,2,B5,2021,8690.16
10035,4,B3,2021,1504.78
10035,7,B4,2020,32376.94
10035,12,B1,2021,8209.35
10035,5,B2,2021,4315.65
10036,6,B4,2020,4771.68
10036,10,B5,2021,8241.40
