CustID,Week,Calls,Minutes,Amt,Gender,Active,Age_Group
1001,1,56,392,78.4,F,Yes,18-30
1001,2,49,735,154.35,F,Yes,18-30
1001,3,140,420,126,F,Yes,18-30
1001,4,182,1638,393.12,F,Yes,18-30
1001,5,70,1050,294,F,Yes,18-30
1001,6,63,441,105.84,F,Yes,18-30
1001,7,70,560,140,F,Yes,18-30
1001,8,154,616,73.92,F,Yes,18-30
1001,9,91,910,54.6,F,Yes,18-30
1001,10,21,210,54.6,F,Yes,18-30
1001,11,126,1638,163.8,F,Yes,18-30
1001,12,7,35,5.95,F,Yes,18-30
1001,13,203,812,113.68,F,Yes,18-30
1001,14,49,343,37.73,F,Yes,18-30
1001,15,63,945,141.75,F,Yes,18-30
1001,16,63,441,83.79,F,Yes,18-30
1001,17,21,84,15.96,F,Yes,18-30
1001,18,189,1512,181.44,F,Yes,18-30
1001,19,63,63,17.01,F,Yes,18-30
1001,20,147,1764,370.44,F,Yes,18-30
1001,21,189,378,41.58,F,Yes,18-30
1001,22,56,672,67.2,F,Yes,18-30
1001,23,105,1575,189,F,Yes,18-30
1001,24,70,980,264.6,F,Yes,18-30
1002,1,70,1050,168,M,Yes,18-30
1002,2,7,35,2.45,M,Yes,18-30
1002,3,7,63,17.64,M,Yes,18-30
1002,4,84,168,18.48,M,Yes,18-30
1002,5,21,315,75.6,M,Yes,18-30
1002,6,56,728,50.96,M,Yes,18-30
1002,7,91,364,25.48,M,Yes,18-30
1002,8,126,252,60.48,M,Yes,18-30
1002,9,140,700,77,M,Yes,18-30
1002,10,203,609,30.45,M,Yes,18-30
1002,11,133,665,199.5,M,Yes,18-30
1002,12,63,945,179.55,M,Yes,18-30
1002,13,161,2254,586.04,M,Yes,18-30
1002,14,21,315,34.65,M,Yes,18-30
1002,15,49,245,71.05,M,Yes,18-30
1002,16,63,189,47.25,M,Yes,18-30
1002,17,70,210,46.2,M,Yes,18-30
1002,18,147,147,39.69,M,Yes,18-30
1002,19,56,504,126,M,Yes,18-30
1002,20,133,1064,276.64,M,Yes,18-30
1002,21,70,70,4.9,M,Yes,18-30
1002,22,133,665,192.85,M,Yes,18-30
1002,23,140,1680,184.8,M,Yes,18-30
1002,24,21,105,14.7,M,Yes,18-30
1003,1,63,315,81.9,F,Yes,18-30
1003,2,14,210,50.4,F,Yes,18-30
1003,3,63,126,36.54,F,Yes,18-30
1003,4,133,1064,127.68,F,Yes,18-30
1003,5,56,168,43.68,F,Yes,18-30
1003,6,56,784,172.48,F,Yes,18-30
1003,7,140,280,14,F,Yes,18-30
1003,8,133,266,66.5,F,Yes,18-30
1003,9,7,98,26.46,F,Yes,18-30
1003,10,161,322,77.28,F,Yes,18-30
1003,11,63,945,198.45,F,Yes,18-30
1003,12,49,245,39.2,F,Yes,18-30
1003,13,28,392,43.12,F,Yes,18-30
1003,14,70,350,35,F,Yes,18-30
1003,15,147,441,66.15,F,Yes,18-30
1003,16,56,392,109.76,F,Yes,18-30
1003,17,28,224,51.52,F,Yes,18-30
1003,18,196,1764,423.36,F,Yes,18-30
1003,19,70,280,72.8,F,Yes,18-30
1003,20,49,196,58.8,F,Yes,18-30
1003,21,168,1680,268.8,F,Yes,18-30
1003,22,49,343,102.9,F,Yes,18-30
1003,23,35,140,32.2,F,Yes,18-30
1003,24,35,280,70,F,Yes,18-30
1004,1,63,945,274.05,F,Yes,30-45
1004,2,63,126,35.28,F,Yes,30-45
1004,3,49,98,9.8,F,Yes,30-45
1004,4,168,504,151.2,F,Yes,30-45
1004,5,70,1050,189,F,Yes,30-45
1004,6,70,1050,94.5,F,Yes,30-45
1004,7,7,105,6.3,F,Yes,30-45
1004,8,63,441,119.07,F,Yes,30-45
1004,9,63,189,49.14,F,Yes,30-45
1004,10,28,364,83.72,F,Yes,30-45
1004,11,42,210,25.2,F,Yes,30-45
1004,12,147,1323,343.98,F,Yes,30-45
1004,13,203,812,154.28,F,Yes,30-45
1004,14,28,420,58.8,F,Yes,30-45
1004,15,133,665,172.9,F,Yes,30-45
1004,16,70,490,63.7,F,Yes,30-45
1004,17,7,56,11.2,F,Yes,30-45
1004,18,210,840,193.2,F,Yes,30-45
1004,19,63,567,102.06,F,Yes,30-45
1004,20,112,224,33.6,F,Yes,30-45
1004,21,189,1890,94.5,F,Yes,30-45
1004,22,161,1449,72.45,F,Yes,30-45
1004,23,98,392,66.64,F,Yes,30-45
1004,24,70,350,77,F,Yes,30-45
1005,1,56,392,23.52,M,No,30-45
1005,2,35,175,17.5,M,No,30-45
1005,3,147,1176,176.4,M,No,30-45
1005,4,56,840,235.2,M,No,30-45
1005,5,28,364,54.6,M,No,30-45
1005,6,56,112,19.04,M,No,30-45
1005,7,63,567,141.75,M,No,30-45
1005,8,42,210,27.3,M,No,30-45
1005,9,49,441,39.69,M,No,30-45
1005,10,203,406,109.62,M,No,30-45
1005,11,56,504,75.6,M,No,30-45
1005,12,133,1197,71.82,M,No,30-45
1005,13,70,840,151.2,M,No,30-45
1005,14,7,7,0.35,M,No,30-45
1005,15,49,245,34.3,M,No,30-45
1005,16,63,504,131.04,M,No,30-45
1005,17,42,126,36.54,M,No,30-45
1005,18,196,1764,511.56,M,No,30-45
1005,19,56,56,7.84,M,No,30-45
1005,20,196,196,13.72,M,No,30-45
1005,21,196,1176,270.48,M,No,30-45
1006,1,56,280,33.6,M,Yes,18-30
1006,2,70,140,26.6,M,Yes,18-30
1006,3,133,1596,111.72,M,Yes,18-30
1006,4,133,798,167.58,M,Yes,18-30
1006,5,14,14,1.82,M,Yes,18-30
1006,6,63,126,36.54,M,Yes,18-30
1006,7,49,147,26.46,M,Yes,18-30
1006,8,56,224,67.2,M,Yes,18-30
1006,9,147,1029,113.19,M,Yes,18-30
1006,10,70,210,46.2,M,Yes,18-30
1006,11,161,1449,260.82,M,Yes,18-30
1006,12,49,147,16.17,M,Yes,18-30
1006,13,203,2030,507.5,M,Yes,18-30
1006,14,42,210,23.1,M,Yes,18-30
1006,15,112,224,44.8,M,Yes,18-30
1006,16,56,168,15.12,M,Yes,18-30
1006,17,42,84,12.6,M,Yes,18-30
1006,18,203,203,36.54,M,Yes,18-30
1006,19,56,280,22.4,M,Yes,18-30
1006,20,98,1470,249.9,M,Yes,18-30
1006,21,126,252,42.84,M,Yes,18-30
1006,22,175,1400,70,M,Yes,18-30
1006,23,154,924,194.04,M,Yes,18-30
1006,24,70,1050,105,M,Yes,18-30
1007,1,70,140,37.8,M,Yes,30-45
1007,2,14,42,5.46,M,Yes,30-45
1007,3,49,49,5.88,M,Yes,30-45
1007,4,21,231,60.06,M,Yes,30-45
1007,5,14,42,7.98,M,Yes,30-45
1007,6,63,945,103.95,M,Yes,30-45
1007,7,147,1176,258.72,M,Yes,30-45
1007,8,161,2093,502.32,M,Yes,30-45
1007,9,133,399,67.83,M,Yes,30-45
1007,10,203,1421,156.31,M,Yes,30-45
1007,11,98,1470,161.7,M,Yes,30-45
1007,12,112,336,43.68,M,Yes,30-45
1007,13,91,910,118.3,M,Yes,30-45
1007,14,42,84,5.88,M,Yes,30-45
1007,15,98,294,85.26,M,Yes,30-45
1007,16,56,448,98.56,M,Yes,30-45
1007,17,7,98,5.88,M,Yes,30-45
1007,18,203,1015,111.65,M,Yes,30-45
1007,19,63,441,44.1,M,Yes,30-45
1007,20,119,595,95.2,M,Yes,30-45
1007,21,56,112,15.68,M,Yes,30-45
1007,22,49,441,74.97,M,Yes,30-45
1007,23,126,630,144.9,M,Yes,30-45
1007,24,35,315,91.35,M,Yes,30-45
1008,1,70,140,11.2,M,Yes,30-45
1008,2,63,189,26.46,M,Yes,30-45
1008,3,112,560,56,M,Yes,30-45
1008,4,168,168,25.2,M,Yes,30-45
1008,5,49,343,34.3,M,Yes,30-45
1008,6,56,504,80.64,M,Yes,30-45
1008,7,133,1729,328.51,M,Yes,30-45
1008,8,98,784,148.96,M,Yes,30-45
1008,9,49,343,37.73,M,Yes,30-45
1008,10,91,1092,98.28,M,Yes,30-45
1008,11,161,1288,270.48,M,Yes,30-45
