SN,AGE,EMPLOY,ADDRESS,DEBTINC,CREDDEBT,OTHDEBT,DEFAULTER
1,3,17,12,9.3,11.36,5.01,1
5,1,2,0,17.3,1.79,3.06,1
8,3,12,11,3.6,0.13,1.24,0
9,1,3,4,24.4,1.36,3.28,1
13,3,24,14,10,3.93,2.47,0
14,2,6,9,16.3,1.72,3.01,0
15,3,22,15,9.1,3.7,5.4,0
16,2,9,6,8.6,0.82,3.4,1
17,2,13,6,16.4,2.92,3.81,1
20,3,0,21,1.7,0.1,0.34,0
21,2,22,3,3.2,1.15,0.51,0
22,3,17,21,5.6,0.59,1.82,0
25,1,1,2,18,0.24,2.64,1
32,1,1,10,10.5,1.14,1.17,0
35,1,8,1,2.9,0.08,0.94,0
36,1,6,7,26,6.05,5.65,0
38,2,12,1,14.4,3.2,4.58,0
39,1,1,8,17.1,1.34,2.77,1
40,3,23,5,4.2,0.56,1.54,0
41,1,7,2,6.6,0.34,1.71,0
45,1,0,0,7.5,0.3,0.75,1
49,1,0,2,11.4,0.78,1.62,1
51,2,2,11,12.6,0.57,2.58,1
53,3,16,18,12.9,3.03,3.68,1
54,2,3,18,3.7,0.31,0.61,0
55,2,3,2,9.5,0.55,2.11,0
56,2,1,3,15.1,1.8,1.82,1
61,2,9,10,2.4,0.05,0.62,0
62,1,13,1,7.4,1.46,1.65,1
63,2,4,0,12.4,0.87,1.98,0
64,2,4,9,7,2.16,1.69,0
66,2,11,6,23.3,7.76,9.72,1
67,1,2,3,6.4,0.19,1.29,1
69,1,8,3,8.2,1.49,1.05,1
70,1,1,2,18.6,0.57,3.15,1
72,1,5,9,23.8,3.1,4.99,0
74,3,1,5,10.6,1.52,1.24,0
81,1,4,3,10.5,2.47,0.36,1
83,2,7,3,19.6,2.7,3.58,0
87,1,5,4,12.4,3.49,0.97,1
88,2,5,17,24.6,1.41,5.73,0
90,1,0,1,27.7,2.04,2.67,1
91,2,3,10,6.2,0.05,1.37,0
92,1,1,6,11.4,0.37,1.34,1
93,2,5,5,10.6,1.5,4.22,0
94,2,0,6,5.8,0.3,0.75,1
95,3,2,0,26.3,1.96,1.98,1
98,3,14,8,7.3,0.93,2.87,0
99,1,4,9,6.3,0.68,0.52,0
100,2,4,6,9.3,1.33,1.55,1
103,2,8,7,5.8,0.78,0.79,0
107,3,9,18,11.2,2.02,3.58,1
109,2,12,13,7.9,1.72,3.02,0
110,2,9,13,10.1,1.12,3.43,0
111,3,2,5,4.9,0.46,1.45,0
113,1,0,2,7.7,0.83,1.01,0
114,3,12,11,21.4,2.41,8.5,0
116,1,4,6,5.2,0.55,1.16,0
117,2,9,9,6.2,2.11,1.92,0
119,2,0,4,12.8,1.09,2.37,1
120,1,1,0,6.7,0.47,0.87,1
121,3,12,19,9.5,1.34,2.17,0
122,1,3,0,8.4,0.28,1.32,1
123,2,6,3,35.3,1.98,7.55,1
124,2,2,4,12.7,1.09,1.7,1
126,3,7,11,4.4,0.69,1.2,0
127,2,7,2,13,1.02,7.82,1
128,1,9,3,1.4,0.13,0.38,0
129,1,5,1,9,0.37,1.88,0
132,2,5,10,12.9,0.98,1.34,0
133,3,18,19,17.4,0.55,5.54,0
134,2,17,20,13.7,2.45,5.77,0
136,1,6,7,2.2,0.45,0.8,0
137,1,1,0,12.4,0.29,2.57,0
138,2,13,2,5.9,0.96,0.69,0
140,1,4,3,6.6,1.16,1.28,1
141,1,0,2,16,1.01,1.55,1
142,1,9,6,17.8,2.85,5.16,1
144,2,11,8,9.1,0.14,2.13,0
150,2,8,4,8,1.72,1.8,0
152,3,13,23,6.1,2.15,2.48,1
156,2,13,3,19.2,2.8,4.69,0
157,2,12,11,11.3,2.1,1.51,0
158,3,9,2,14.8,1.56,2.59,1
159,2,9,4,13.8,1.35,2.65,1
160,2,9,5,4.5,0.31,0.86,0
161,1,4,0,8.9,1.42,0.89,0
162,1,5,9,8.7,0.77,3.05,0
163,2,2,1,6.8,0.28,1.49,1
164,2,8,6,4.1,0.33,0.74,0
165,2,1,8,12.5,0.59,2.41,1
166,2,13,11,18.9,6.23,13.05,1
167,1,4,2,15.6,1.64,2.11,1
170,2,16,9,4,1.73,1.43,0
172,2,4,10,11.3,0.29,2.87,0
173,2,1,0,4.8,0.31,0.65,1
175,2,6,14,7.5,0.57,1.01,0
178,1,7,2,7,0.36,2.02,0
179,2,13,5,8.9,0.6,1.53,0
180,2,2,14,22.9,2.12,5.89,1
